index,Provider ID,State,ZIP Code,Phone Number,Hospital Type,Hospital Ownership,Emergency Services,Hospital overall rating,Hospital overall rating footnote,Mortality national comparison,Mortality national comparison footnote,Safety of care national comparison,Safety of care national comparison footnote,Readmission national comparison,Readmission national comparison footnote,Patient experience national comparison,Patient experience national comparison footnote,Effectiveness of care national comparison,Effectiveness of care national comparison footnote,Timeliness of care national comparison,Timeliness of care national comparison footnote,Efficient use of medical imaging national comparison,Efficient use of medical imaging national comparison footnote,Location
0,10005,AL,35957,2565938310,Acute Care Hospitals,Government - Hospital District or Authority,1,3.0,,Below Average,,Average,,Above Average,,Average,,Average,,Above Average,,Below Average,,"2505 U S HIGHWAY 431 NORTH, BOAZ, AL 35957, "
1,10032,AL,36278,2563572111,Acute Care Hospitals,Government - Hospital District or Authority,1,4.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,"209 NORTH MAIN STREET, WEDOWEE, AL 36278, "
2,10131,AL,35801,2568823100,Acute Care Hospitals,Proprietary,1,3.0,,Below Average,,Above Average,,Average,,Average,,Average,,Average,,Average,,"ONE HOSPITAL DR SE, HUNTSVILLE, AL 35801, "
3,20001,AK,99508,9072123675,Acute Care Hospitals,Voluntary non-profit - Church,1,3.0,,Average,,Below Average,,Above Average,,Below Average,,Below Average,,Below Average,,Average,,"BOX 196604, ANCHORAGE, AK 99508, "
4,20018,AK,99559,9075436300,Acute Care Hospitals,Tribal,1,3.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Average,,Unknown,Results are not available for this reporting period,Average,,Below Average,,Below Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 287, BETHEL, AK 99559, "
5,21309,AK,99576,9078425201,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"P O BOX 130, DILLINGHAM, AK 99576, "
6,21310,AK,99752,9074423321,Critical Access Hospitals,Tribal,1,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"PO BOX 43, KOTZEBUE, AK 99752, "
7,30071,AZ,86504,9287298000,Acute Care Hospitals,Government - Federal,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Below Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 649, FORT DEFIANCE, AZ 86504, "
8,30073,AZ,86045,9282832501,Acute Care Hospitals,Voluntary non-profit - Other,0,3.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Unknown,Results are not available for this reporting period,Average,,Average,,Below Average,,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 600, TUBA CITY, AZ 86045, "
9,30074,AZ,85634,5203837200,Acute Care Hospitals,Government - Federal,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 548, SELLS, AZ 85634, "
10,30077,AZ,85542,9284751200,Acute Care Hospitals,Government - Federal,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"103 MEDICINE WAY ROAD, PERIDOT, AZ 85542, "
11,30084,AZ,86503,9286747001,Acute Care Hospitals,Government - Federal,1,2.0,This hospitalÂ’s star rating only includes data reported on inpatient services,Unknown,Results are not available for this reporting period,Average,,Average,,Average,,Below Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"US HWY 191, HOSPITAL ROAD, CHINLE, AZ 86503, "
12,40007,AR,72205,5015523000,Acute Care Hospitals,Voluntary non-profit - Private,1,2.0,,Below Average,,Below Average,,Below Average,,Below Average,,Below Average,,Average,,Average,,"TWO ST VINCENT CIRCLE, LITTLE ROCK, AR 72205, "
13,31305,AZ,86042,9287376000,Critical Access Hospitals,Tribal,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"HIGHWAY 264, MILEPOST 388, POLACCA, AZ 86042, "
14,31309,AZ,86505,9287554559,Critical Access Hospitals,Voluntary non-profit - Private,0,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"STATE ROUTE 264 SOUTH 191 PO BOX 457, GANADO, AZ 86505, "
15,41324,AR,72110,5019772300,Critical Access Hospitals,Voluntary non-profit - Church,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"#4 HOSPITAL DRIVE, MORRILTON, AR 72110, "
16,41328,AR,71653,8702655351,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Unknown,Results are not available for this reporting period,Average,,Above Average,,Unknown,Results are not available for this reporting period,Average,,Below Average,,"2729 SOUTH HIGHWAY 65 &amp; 82, LAKE VILLAGE, AR 71653, "
17,50054,CA,92220,9518451121,Acute Care Hospitals,Government - Hospital District or Authority,1,3.0,,Average,,Average,,Average,,Below Average,,Average,,Below Average,,Unknown,Results are not available for this reporting period,"600 NORTH HIGHLAND SPRINGS AVENUE, BANNING, CA 92220, "
18,50055,CA,94110,4156416562,Acute Care Hospitals,Voluntary non-profit - Church,1,2.0,,Average,,Below Average,,Average,,Below Average,,Average,,Below Average,,Average,,"3555 CESAR CHAVEZ STREET, SAN FRANCISCO, CA 94110, "
19,50224,CA,92663,9497644624,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Above Average,,Above Average,,Average,,Above Average,,Average,,Average,,Below Average,,"ONE HOAG DRIVE, NEWPORT BEACH, CA 92663, "
20,50309,CA,95661,9167811000,Acute Care Hospitals,Voluntary non-profit - Other,1,4.0,,Average,,Average,,Above Average,,Average,,Above Average,,Below Average,,Above Average,,"ONE MEDICAL PLAZA, ROSEVILLE, CA 95661, "
21,50441,CA,94305,6507235708,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Average,,Above Average,,Above Average,,Above Average,,Below Average,,Average,,"300 PASTEUR DRIVE, STANFORD, CA 94305, "
22,50488,CA,94546,5105371234,Acute Care Hospitals,Voluntary non-profit - Other,1,3.0,,Average,,Average,,Average,,Average,,Above Average,,Below Average,,Average,,"20103 LAKE CHABOT ROAD, CASTRO VALLEY, CA 94546, "
23,50567,CA,92691,9493641400,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Below Average,,Above Average,,Below Average,,Average,,Below Average,,Below Average,,"27700 MEDICAL CENTER RD, MISSION VIEJO, CA 92691, "
24,50717,CA,90242,5624017022,Acute Care Hospitals,Government - Local,0,3.0,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Average,,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"7601 EAST IMPERIAL HIGHWAY, DOWNEY, CA 90242, "
25,53306,CA,92691,9493652408,Childrens,Voluntary non-profit - Private,1,3.0,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,Unknown,Data are shown only for hospitals that participate in the Inpatient Quality Reporting (IQR) and Outpatient Quality Reporting (OQR) programs,"27700 MEDICAL CENTER RD, 5TH FLOOR, MISSION VIEJO, CA 92691, "
26,60104,CO,80023,3034303201,Acute Care Hospitals,Voluntary non-profit - Church,1,4.0,,Average,,Above Average,,Above Average,,Average,,Above Average,,Average,,Average,,"14300 ORCHARD PARKWAY, WESTMINSTER, CO 80023, "
27,70029,CT,6010,8605853000,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Above Average,,Below Average,,Above Average,,Average,,Average,,Above Average,,"BREWSTER RD, BRISTOL, CT 06010, "
28,80003,DE,19805,3024214100,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Above Average,,Average,,Below Average,,Average,,Below Average,,Average,,"7TH AND CLAYTON STS, WILMINGTON, DE 19805, "
29,100054,FL,32578,8506784131,Acute Care Hospitals,Proprietary,1,4.0,,Average,,Above Average,,Average,,Above Average,,Above Average,,Above Average,,Below Average,,"2190 HWY 85 N, NICEVILLE, FL 32578, "
30,100137,FL,33837,8634224971,Acute Care Hospitals,Proprietary,1,2.0,,Average,,Average,,Below Average,,Below Average,,Below Average,,Below Average,,Average,,"40100 US HWY 27 N, DAVENPORT, FL 33837, "
31,100209,FL,33175,3052233000,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Above Average,,Below Average,,Below Average,,Above Average,,Average,,Average,,"11750 BIRD RD, MIAMI, FL 33175, "
32,21301,AK,99686,9078352249,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 550, VALDEZ, AK 99686, "
33,21304,AK,99833,9077724291,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 589, PETERSBURG, AK 99833, "
34,21307,AK,99574,9074248000,Critical Access Hospitals,Government - Local,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"PO BOX 160 - 602 CHASE AVENUE, CORDOVA, AK 99574, "
35,110042,GA,30141,4706447000,Acute Care Hospitals,Voluntary non-profit - Other,1,3.0,,Average,,Average,,Above Average,,Above Average,,Average,,Below Average,,Average,,"2518 JIMMY LEE SMITH PARKWAY, HIRAM, GA 30141, "
36,110128,GA,30474,9125355828,Acute Care Hospitals,Proprietary,1,3.0,,Average,,Below Average,,Average,,Above Average,,Average,,Above Average,,Below Average,,"ONE MEADOWS PARKWAY, VIDALIA, GA 30474, "
37,120028,HI,96743,8088854444,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Average,,Average,,Average,,Average,,Average,,Average,,"67 1125 MAMALAHOA HIGHWAY, KAMUELA, HI 96743, "
38,140002,IL,62002,6184637300,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Average,,Below Average,,Average,,Above Average,,Average,,Average,,Above Average,,"ONE MEMORIAL DRIVE, ALTON, IL 62002, "
39,140018,IL,60608,7732576751,Acute Care Hospitals,Voluntary non-profit - Private,1,1.0,,Average,,Below Average,,Average,,Below Average,,Average,,Below Average,,Average,,"15TH STREET AT CALIFORNIA, CHICAGO, IL 60608, "
40,140052,IL,62002,6184652571,Acute Care Hospitals,Voluntary non-profit - Church,1,3.0,,Average,,Average,,Below Average,,Above Average,,Above Average,,Above Average,,Average,,"ST ANTHONY'S WAY, ALTON, IL 62002, "
41,140191,IL,60426,7083332300,Acute Care Hospitals,Voluntary non-profit - Private,1,3.0,,Above Average,,Above Average,,Below Average,,Below Average,,Above Average,,Average,,Average,,"ONE INGALLS DRIVE, HARVEY, IL 60426, "
42,140258,IL,60007,8474375500,Acute Care Hospitals,Voluntary non-profit - Church,1,4.0,,Above Average,,Below Average,,Above Average,,Above Average,,Above Average,,Average,,Average,,"800 W BIESTERFIELD RD, ELK GROVE VILLAGE, IL 60007, "
43,140286,IL,60115,8157561521,Acute Care Hospitals,Voluntary non-profit - Private,1,4.0,,Average,,Above Average,,Above Average,,Average,,Above Average,,Above Average,,Average,,"ONE KISH HOSPITAL DRIVE, DEKALB, IL 60115, "
44,141302,IL,61036,8157771340,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Above Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"ONE MEDICAL CENTER DRIVE, GALENA, IL 61036, "
45,141328,IL,62982,6182856634,Critical Access Hospitals,Voluntary non-profit - Private,1,3.0,There are too few measures or measure groups reported to calculate a star rating or measure group score,Average,,Unknown,Results are not available for this reporting period,Average,,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,Unknown,Results are not available for this reporting period,"FERRELL ROAD, ROSICLARE, IL 62982, "
